абдикувати | абдикую | абдикував
абелювати | абелюю | абелював
абеткувати | абеткую | абеткував
аблактувати | аблактую | аблактував
абонувати | абоную | абонував
абордувати | абордую | абордував
абортувати | абортую | абортував
абсолютизовувати | абсолютизовую | абсолютизовував
абсолютизувати | абсолютизую | абсолютизував
абсолютувати | абсолютую | абсолютував
абсорбувати | абсорбую | абсорбував
абстрагувати | абстрагую | абстрагував
авалювати | авалюю | авалював
авансувати | авансую | авансував
авізувати | авізую | авізував
авралити | авралю | авралив
аврукати | аврукаю | аврукав
автентифікувати | автентифікую | автентифікував
автократизувати | автократизую | автократизував
автоматизовувати | автоматизовую | автоматизовував
автоматизувати | автоматизую | автоматизував
автомодулювати | автомодулюю | автомодулював
автономізувати | автономізую | автономізував
авторизовувати | авторизовую | авторизовував
авторизувати | авторизую | авторизував
автостопити | автостоплю | автостопив
агакати | агакаю | агакав
агакнути | агакну | агакнув
агентувати | агентую | агентував
агітувати | агітую | агітував
агломерувати | агломерую | агломерував
аглютинувати | аглютиную | аглютинував
аговкати | аговкаю | аговкав
агонізувати | агонізую | агонізував
агрегатувати | агрегатую | агрегатував
агрегувати | агрегую | агрегував
агресувати | агресую | агресував
агукати | агукаю | агукав
агуськати | агуськаю | агуськав
аґукати | аґукаю | аґукав
аґуськати | аґуськаю | аґуськав
адаптовувати | адаптовую | адаптовував
адаптувати | адаптую | адаптував
адвербіалізувати | адвербіалізую | адвербіалізував
адвокатувати | адвокатую | адвокатував
адгезувати | адгезую | адгезував
адмініструвати | адмініструю | адміністрував
адоптувати | адоптую | адоптував
адресовувати | адресовую | адресовував
адресувати | адресую | адресував
адсорбувати | адсорбую | адсорбував
аерувати | аерую | аерував
азотизувати | азотизую | азотизував
азотувати | азотую | азотував
айкати | айкаю | айкав
айкнути | айкну | айкнув
акати | акаю | акав
аквапланерувати | аквапланерую | аквапланерував
акліматизовувати | акліматизовую | акліматизовував
акліматизувати | акліматизую | акліматизував
акомодувати | акомодую | акомодував
акомпанувати | акомпаную | акомпанував
акредитовувати | акредитовую | акредитовував
акредитувати | акредитую | акредитував
аксіоматизувати | аксіоматизую | аксіоматизував
активізовувати | активізовую | активізовував
активізувати | активізую | активізував
активувати | активую | активував
акторствувати | акторствую | акторствував
акторувати | акторую | акторував
актуалізовувати | актуалізовую | актуалізовував
актуалізувати | актуалізую | актуалізував
актуальнішати | актуальнішаю | актуальнішав
актувати | актую | актував
акумулювати | акумулюю | акумулював
акушерувати | акушерую | акушерував
акцентувати | акцентую | акцентував
акцентуювати | акцентуюю | акцентуював
акцептувати | акцептую | акцептував
акціонувати | акціоную | акціонував
акціювати | акціюю | акціював
алгебраїзувати | алгебраїзую | алгебраїзував
алгебризувати | алгебризую | алгебризував
алгебрувати | алгебрую | алгебрував
алгоритмізувати | алгоритмізую | алгоритмізував
алгоритмувати | алгоритмую | алгоритмував
алергізувати | алергізую | алергізував
алітерувати | алітерую | алітерував
алітувати | алітую | алітував
алкаліметрувати | алкаліметрую | алкаліметрував
алкілувати | алкілую | алкілував
алкоголізувати | алкоголізую | алкоголізував
альтернувати | альтерную | альтернував
алюмінувати | алюміную | алюмінував
амальгамувати | амальгамую | амальгамував
американізувати | американізую | американізував
амідувати | амідую | амідував
амінувати | аміную | амінував
амністувати | амністую | амністував
амонізувати | амонізую | амонізував
амортизувати | амортизую | амортизував
ампліфікувати | ампліфікую | ампліфікував
ампутувати | ампутую | ампутував
аналгезувати | аналгезую | аналгезував
аналізувати | аналізую | аналізував
аналогізувати | аналогізую | аналогізував
анальгезувати | анальгезую | анальгезував
анаморфозувати | анаморфозую | анаморфозував
анаморфувати | анаморфую | анаморфував
анатомувати | анатомую | анатомував
анафемствувати | анафемствую | анафемствував
анафемувати | анафемую | анафемував
ангажувати | ангажую | ангажував
англізувати | англізую | англізував
анексувати | анексую | анексував
анестезувати | анестезую | анестезував
анігілювати | анігілюю | анігілював
анімувати | анімую | анімував
анкетувати | анкетую | анкетував
анодувати | анодую | анодував
анонімізувати | анонімізую | анонімізував
анонсувати | анонсую | анонсував
анотувати | анотую | анотував
ансамблювати | ансамблюю | ансамблював
антагонізувати | антагонізую | антагонізував
антидатувати | антидатую | антидатував
антикомутувати | антикомутую | антикомутував
антисептувати | антисептую | антисептував
антропоморфізувати | антропоморфізую | антропоморфізував
анульовувати | анульовую | анульовував
анулювати | анулюю | анулював
апелювати | апелюю | апелював
аплодувати | аплодую | аплодував
апологетизувати | апологетизую | апологетизував
апологізувати | апологізую | апологізував
апостилювати | апостилюю | апостилював
апотеозувати | апотеозую | апотеозував
апперципувати | апперципую | апперципував
апретувати | апретую | апретував
апробовувати | апробовую | апробовував
апробувати | апробую | апробував
апроксимувати | апроксимую | апроксимував
апропріювати | апропріюю | апропріював
аранжувати | аранжую | аранжував
аргументувати | аргументую | аргументував
аретувати | аретую | аретував
арештовувати | арештовую | арештовував
арештувати | арештую | арештував
арилувати | арилую | арилував
арканити | арканю | арканив
армувати | армую | армував
ароматизовувати | ароматизовую | ароматизовував
ароматизувати | ароматизую | ароматизував
артикулювати | артикулюю | артикулював
архаїзувати | архаїзую | архаїзував
архівувати | архівую | архівував
асекурувати | асекурую | асекурував
асигнувати | асигную | асигнував
асиметризувати | асиметризую | асиметризував
асимільовувати | асимільовую | асимільовував
асимілювати | асимілюю | асимілював
асинхронізувати | асинхронізую | асинхронізував
асистувати | асистую | асистував
асоційовувати | асоційовую | асоційовував
асоціювати | асоціюю | асоціював
аспектувати | аспектую | аспектував
асфальтувати | асфальтую | асфальтував
атакувати | атакую | атакував
атенуювати | атенуюю | атенуював
атестовувати | атестовую | атестовував
атестувати | атестую | атестував
атомізувати | атомізую | атомізував
атрибувати | атрибую | атрибував
атрибутувати | атрибутую | атрибутував
атрофувати | атрофую | атрофував
атукати | атукаю | атукав
аудирувати | аудирую | аудирував
аудитувати | аудитую | аудитував
аудіювати | аудіюю | аудіював
аукати | аукаю | аукав
аутентифікувати | аутентифікую | аутентифікував
афектувати | афектую | афектував
афішувати | афішую | афішував
ахати | ахаю | ахав
ахкати | ахкаю | ахкав
ахнути | ахну | ахнув
ацетилювати | ацетилюю | ацетилював
ацилювати | ацилюю | ацилював
бабахати | бабахаю | бабахав
бабахкати | бабахкаю | бабахкав
бабахнути | бабахну | бабахнув
бабити | баблю | бабив
бабіти | бабію | бабів
бабрати | бабраю | бабрав
бабувати | бабую | бабував
бавити | бавлю | бавив
багатіти | багатію | багатів
багатішати | багатішаю | багатішав
багатшати | багатшаю | багатшав
багнити | багню | багнив
багнітувати | багнітую | багнітував
багрити | багрю | багрив
багріти | багрію | багрів
багровіти | багровію | багровів
багрянити | багряню | багрянив
багряніти | багрянію | багрянів
бадьорити | бадьорю | бадьорив
бадьорішати | бадьорішаю | бадьорішав
бажати | бажаю | бажав
базарувати | базарую | базарував
базарювати | базарюю | базарював
базграти | базграю | базграв
базифікувати | базифікую | базифікував
базікати | базікаю | базікав
базікнути | базікну | базікнув
базувати | базую | базував
байдикувати | байдикую | байдикував
байдужіти | байдужію | байдужів
байдужніти | байдужнію | байдужнів
бактеризувати | бактеризую | бактеризував
балабонити | балабоню | балабонив
балаганити | балаганю | балаганив
балагурити | балагурю | балагурив
балакати | балакаю | балакав
баламкати | баламкаю | баламкав
баламутити | баламучу | баламутив
балансувати | балансую | балансував
баластувати | баластую | баластував
балдіти | балдію | балдів
балканізувати | балканізую | балканізував
балотувати | балотую | балотував
балувати | балую | балував
бальзамувати | бальзамую | бальзамував
баляндрасити | баляндрашу | баляндрасив
балясувати | балясую | балясував
бамбулити | бамбулю | бамбулив
бамкати | бамкаю | бамкав
бамкнути | бамкну | бамкнув
баналізувати | баналізую | баналізував
бандажувати | бандажую | бандажував
бандитувати | бандитую | бандитував
банкетувати | банкетую | банкетував
банкрутити | банкручу | банкрутив
банкрутіти | банкрутію | банкрутів
банкрутувати | банкрутую | банкрутував
банкувати | банкую | банкував
банчирувати | банчирую | банчирував
банячити | банячу | банячив
барабанити | барабаню | барабанив
баражувати | баражую | баражував
барахлити | барахлю | барахлив
барботувати | барботую | барботував
барвити | барвлю | барвив
барижити | барижу | барижив
барикадувати | барикадую | барикадував
барити | барю | барив
баришникувати | баришникую | баришникував
баришувати | баришую | баришував
бартеризувати | бартеризую | бартеризував
басаманити | басаманю | басаманив
басити | башу | басив
басувати | басую | басував
батожити | батожу | батожив
батрачити | батрачу | батрачив
батувати | батую | батував
батькувати | батькую | батькував
батярувати | батярую | батярував
бахати | бахаю | бахав
бахкати | бахкаю | бахкав
бахнути | бахну | бахнув
бахурувати | бахурую | бахурував
бацати | бацаю | бацав
бацнути | бацну | бацнув
бачити | - | бачив
бгати | бгаю | бгав
бджолярувати | бджолярую | бджолярував
беатифікувати | беатифікую | беатифікував
бебехнути | бебехну | бебехнув
бевкати | бевкаю | бевкав
бевкнути | бевкну | бевкнув
бевхати | бевхаю | бевхав
бевхнути | бевхну | бевхнув
безглуздіти | безглуздію | безглуздів
безлюдніти | безлюднію | безлюднів
безсиліти | безсилію | безсилів
безславити | безславлю | безславив
безсмертити | безсмерчу | безсмертив
безуміти | безумію | безумів
безумствувати | безумствую | безумствував
безхатькувати | безхатькую | безхатькував
безчестити | безчещу | безчестив
бекати | бекаю | бекав
бекнути | бекну | бекнув
белетризувати | белетризую | белетризував
белькнути | белькну | белькнув
белькотати | белькочу | белькотав
белькотіти | белькочу | белькотів
бемкати | бемкаю | бемкав
бемкнути | бемкну | бемкнув
бенкетувати | бенкетую | бенкетував
бентежити | бентежу | бентежив
берегти | бережу | беріг
беркицнути | беркицну | беркицнув
беркицьнути | беркицьну | беркицьнув
бесемерувати | бесемерую | бесемерував
бесідувати | бесідую | бесідував
бетонувати | бетоную | бетонував
бехнути | бехну | бехнув
бешкетувати | бешкетую | бешкетував
бештати | бештаю | бештав
бикувати | бикую | бикував
бинтувати | бинтую | бинтував
бити | б'ю | бив
бичувати | бичую | бичував
